구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,연동,해월루,-,202410,24,6916,24.11.26
제주시,연동,연동아이진빌,-,202410,24,5661,24.11.26
제주시,화북이동,제동해피죤,제동해피죤101동,202410,24,24000,24.10.24
제주시,화북이동,제주삼화엘에이치2단지,210,202410,24,59500,24.12.20
제주시,도련일동,제주삼화사랑으로부영7차,706동,202410,24,61000,24.12.20
제주시,외도일동,대원상록수11차아파트,-,202410,24,37200,24.12.26
제주시,노형동,재영샤르빌,-,202410,24,13500,25.01.02
제주시,노형동,삼환3차,-,202410,23,19500,24.11.04
제주시,외도일동,외도부영1차,103,202410,23,15800,24.12.31
제주시,외도일동,부영(2차),부영아파트 204,202410,23,45000,24.11.22
제주시,애월읍,하귀코아루오션뷰,103동,202410,23,38880,24.10.31
제주시,외도일동,아모르102,-,202410,23,12000,24.10.24
제주시,도남동,수선화(69-1)2차,201,202410,23,13900,25.01.17
제주시,일도이동,평화(2차),-,202410,23,21000,24.12.11
제주시,연동,연동세기2차,-,202410,23,12500,24.11.07
제주시,조천읍,천마에버하임오션,-,202410,23,28500,24.12.20
제주시,이도일동,화이트하우스,-,202410,23,9400,24.10.31
제주시,삼양이동,삼양더힐링빌,-,202410,23,11200,24.11.06
제주시,외도일동,외도부영1차,109,202410,23,20800,24.12.16
제주시,노형동,노형이-편한세상,101동,202410,22,97000,24.12.02
제주시,외도일동,허브라벤다,-,202410,22,26900,24.12.26
제주시,노형동,노형뜨란채,205,202410,22,57800,24.11.20
제주시,외도일동,부영(2차),부영아파트 207,202410,22,41100,25.01.02
제주시,화북일동,덕진9차,-,202410,22,25000,24.12.10
제주시,노형동,중흥에스클래스(미리내마을),106,202410,22,80000,25.02.04
제주시,연동,청목더웰연동,-,202410,22,10000,24.10.22
제주시,화북일동,화북주공4단지,417,202410,22,28000,25.02.21
제주시,일도이동,백강수피아2차,-,202410,21,30500,24.12.17
제주시,삼도이동,삼도쉐르빌1차,-,202410,21,27000,24.11.29
제주시,노형동,부영2차,205,202410,21,31800,25.01.07
제주시,일도이동,일도더팰리스,-,202410,21,33061,24.11.13
제주시,화북이동,벨루스타운Ⅲ,-,202410,21,31500,24.12.27
제주시,도련일동,세경캐슬2,-,202410,20,34200,-
제주시,노형동,대림,-,202410,20,41000,-
제주시,노형동,대림,101,202410,20,41000,24.12.10
제주시,연동,대림이편한세상2차,201,202410,20,100000,24.11.06
제주시,노형동,부영1차,103,202410,20,67000,25.03.31
제주시,도련일동,세경캐슬2,-,202410,20,34200,24.11.20
제주시,연동,갤럭시타운,-,202410,19,14600,24.11.22
제주시,노형동,부영2차,201,202410,19,34300,24.12.13
