NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1405,제주특별자치도 제주시 노형동,1289-1,1289,1,제동프린스빌,32.09,202403,6,"8,100",-,8,개인,개인,2003,다랑곶길 10,-,중개거래,제주 제주시,24.03.22
1406,제주특별자치도 제주시 일도이동,409-10,409,10,일도남양,82.33,202403,6,"18,800",-,3,개인,개인,1992,천수로9길 9,20240322,중개거래,제주 제주시,-
1407,제주특별자치도 제주시 도남동,70,70,0,수선화(70)1차,53.89,202403,6,"22,000",수선화아파트 가,3,개인,개인,1992,독짓골2길 26,-,중개거래,제주 제주시,24.04.02
1408,제주특별자치도 제주시 삼양일동,1601-11,1601,11,삼부장미(가동),72.09,202403,5,"13,600",-,5,개인,개인,1992,선사로6길 55,-,중개거래,제주 제주시,24.04.25
1409,제주특별자치도 제주시 이도이동,1780-1,1780,1,석정시티빌,19.55,202403,5,"6,200",-,7,개인,개인,2011,서광로30길 8,-,중개거래,"경기 수원시팔달구, 제주 제주시",24.04.16
1410,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202403,5,"23,000",103,8,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,24.03.13
1411,제주특별자치도 제주시 일도이동,Jan-46,46,1,혜성대유,59.82,202403,5,"30,000",104,5,개인,개인,1995,연수로 40,-,직거래,-,24.03.07
1412,제주특별자치도 제주시 이호이동,1095,1095,0,이호재영샤르빌13차,84.89,202403,5,"34,000",-,7,개인,법인,2018,오도11길 19-1,-,중개거래,제주 제주시,24.03.21
1413,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202403,5,"33,000",206,7,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,24.03.26
1414,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202403,5,"23,300",104,2,법인,개인,2006,함덕30길 27,-,중개거래,제주 제주시,24.04.19
1415,제주특별자치도 제주시 노형동,1062-5,1062,5,대원상록수노형1차,84.14,202403,5,"21,000",-,5,개인,개인,1995,수덕7길 9,-,중개거래,제주 제주시,24.06.19
1416,제주특별자치도 제주시 삼양이동,2333,2333,0,제주삼화사랑으로부영5차,84.3616,202403,4,"49,500",514,2,개인,개인,2013,화삼로 166,-,중개거래,제주 제주시,24.05.20
1417,제주특별자치도 제주시 건입동,1004-4,1004,4,우일,84.78,202403,4,"21,500",-,5,개인,개인,1993,만덕로3길 19,-,중개거래,제주 제주시,24.03.26
1418,제주특별자치도 제주시 연동,251-38,251,38,제원3차,70.39,202403,4,"37,000",3,5,개인,개인,1979,신광로6길 38,-,중개거래,제주 제주시,24.03.21
1419,제주특별자치도 제주시 이도이동,1166-6,1166,6,아이린아파트6차,83.56,202403,4,"46,500",-,6,개인,개인,2019,동광로12길 13,-,중개거래,제주 제주시,24.04.15
1420,제주특별자치도 제주시 삼도일동,788-6,788,6,영남화이트빌(가동),182.28,202403,4,"33,000",-,3,개인,개인,2004,서사로8길 3,-,중개거래,제주 제주시,24.04.12
1421,제주특별자치도 제주시 노형동,Jan-91,3791,1,노형2차아이파크,115.1601,202403,3,"110,000",202,3,개인,개인,2014,노형12길 24,-,중개거래,제주 제주시,24.04.15
1422,제주특별자치도 제주시 일도이동,151-16,151,16,미화맨션,74.12,202403,2,"14,000",가형,1,개인,개인,1987,동광로21길 31,-,직거래,-,24.03.29
1423,제주특별자치도 제주시 용담이동,609-77,609,77,헤르지아,84.8208,202403,2,"30,800",-,9,개인,개인,2012,성화로 2,-,직거래,-,24.03.21
1424,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202403,2,"33,000",화북2아파트206,6,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,24.04.05
1425,제주특별자치도 제주시 노형동,Feb-30,2530,2,대원상록수5차,84.9997,202402,29,"30,000",101,10,개인,개인,2005,수덕9길 48,-,직거래,-,24.03.28
1426,제주특별자치도 제주시 삼양이동,2333,2333,0,제주삼화사랑으로부영5차,66.4409,202402,29,"43,500",503,3,개인,개인,2013,화삼로 166,-,중개거래,제주 제주시,24.04.09
1427,제주특별자치도 제주시 화북일동,10월 01일,10,1,화북주공1단지,84.6,202402,29,"40,000",화북1아파트 109동,7,개인,개인,1998,동화로1길 11,-,중개거래,제주 제주시,24.03.19
